time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-14T16:42:31.760Z,19.1313323974609,-155.363662719727,26.5499992370605,3.24,ml,43,187,,0.140000001,hv,hv73324412,2023-02-14T18:44:12.758Z,"14 km ESE of P?hala, Hawaii",earthquake,0.56,0.959999979,1.77,24,automatic,hv,hv
2023-02-13T13:34:15.480Z,19.1378333333333,-155.391333333333,31.56,3.15,ml,50,180,,0.13,hv,hv73323747,2023-02-14T13:36:56.618Z,"11 km SE of P?hala, Hawaii",earthquake,0.45,0.58,0.139945774898603,31,reviewed,hv,hv
2023-02-13T00:45:12.480Z,19.3313333333333,-155.135833333333,5.68,3,ml,30,101,,0.09,hv,hv73323467,2023-02-14T03:44:37.880Z,"14 km S of Fern Forest, Hawaii",earthquake,0.35,0.77,0.179865971579695,35,reviewed,hv,hv
2023-02-12T02:21:23.340Z,19.1498333333333,-155.370833333333,30.21,3.83,ml,49,180,,0.15,hv,hv73323102,2023-02-13T17:05:01.846Z,"12 km ESE of P?hala, Hawaii",earthquake,0.54,0.71,0.111200302045087,39,reviewed,hv,hv
2023-02-11T00:15:10.450Z,19.0413333333333,-155.416166666667,35.4,3.48,ml,42,205,,0.12,hv,hv73322637,2023-02-12T00:17:16.527Z,"Island of Hawaii, Hawaii",earthquake,0.44,0.69,0.184848306284667,30,reviewed,hv,hv
2023-02-10T16:26:45.060Z,19.2235,-156.283,38.7,3.34,ml,45,249,,0.12,hv,hv73322527,2023-02-10T22:27:29.703Z,"Hawaii region, Hawaii",earthquake,0.61,1.06,0.158499078903955,20,reviewed,hv,hv
2023-02-09T14:32:01.480Z,19.0448333333333,-155.419333333333,36.87,3.07,ml,46,204,,0.12,hv,hv73321997,2023-02-10T00:04:05.260Z,"",earthquake,0.44,0.63,0.175308240981904,31,reviewed,hv,hv
2023-02-08T06:53:50.040Z,19.2586666666667,-155.412666666667,32.46,3.07,ml,50,61,,0.13,hv,hv73321177,2023-02-08T21:38:40.524Z,"",earthquake,0.46,0.5,0.178788544446467,35,reviewed,hv,hv
2023-02-06T09:39:21.140Z,19.182,-155.509166666667,35.36,3.18,ml,52,97,,0.13,hv,hv73320242,2023-02-13T10:35:56.106Z,"Island of Hawaii, Hawaii",earthquake,0.42,0.51,0.1657671118555,35,reviewed,hv,hv
2023-02-06T02:30:54.090Z,19.2673333333333,-155.404333333333,31.34,3.25,ml,54,82,,0.14,hv,hv73320042,2023-02-07T10:39:05.377Z,"10 km NE of P?hala, Hawaii",earthquake,0.41,0.52,0.229048345633394,36,reviewed,hv,hv
2023-02-05T14:36:27.310Z,19.0403333333333,-155.414833333333,34.73,3.17,ml,51,205,,0.13,hv,hv73319747,2023-02-07T21:37:52.880Z,"Island of Hawaii, Hawaii",earthquake,0.45,0.65,0.167988732065216,35,reviewed,hv,hv
2023-01-31T08:02:50.660Z,19.2068333333333,-155.388333333333,31.45,3.25,ml,52,158,,0.14,hv,hv73316297,2023-02-01T08:04:21.716Z,"9 km E of P?hala, Hawaii",earthquake,0.46,0.56,0.149751579751209,36,reviewed,hv,hv
